fact_id,raw_name,metric_core,evidence,nearest_canonical_1,score_1,nearest_canonical_2,score_2,nearest_canonical_3,score_3,unit_compatible,role_compatible,denominator_compatible,block_reasons,why_not_top_candidate,recommended_action,review_status,fact_metric_subject_draft,fact_metric_role_draft,fact_flow_direction_draft,fact_denominator_type_draft,fact_unit_family,top_canonical_metric_subject,top_canonical_metric_role,top_canonical_flow_direction,top_canonical_denominator_type,top_canonical_unit_family,definition_score_1,metric_core_score_1,alias_score_1,definition_drifted_1
nestle_india_p211_1_fact_14,Other Hazardous waste,other_hazardous_waste,"Other Hazardous waste. Please specify, if any. (G) 297",waste_generated,0.542,plastic_waste_collected,0.473,construction_demolition_waste,0.448,true,true,true,,Nearest canonical waste_generated passed the semantic gate; alias requires human approval.,standard_mapping_candidate,pending,waste,generation,output,,weight,waste,generation,output,,weight,0.493,0.303,0.562,false
nestle_india_p211_1_fact_15,Other Hazardous waste,other_hazardous_waste,"Other Hazardous waste. Please specify, if any. (G) 36",waste_generated,0.542,plastic_waste_collected,0.473,construction_demolition_waste,0.448,true,true,true,,Nearest canonical waste_generated passed the semantic gate; alias requires human approval.,standard_mapping_candidate,pending,waste,generation,output,,weight,waste,generation,output,,weight,0.493,0.303,0.562,false
nestle_india_p211_1_fact_2,Plastic waste,plastic_waste,"Plastic waste (A) 2,489",plastic_waste_collected,0.773,plastic_waste_generated,0.708,plastic_packaging_consumed,0.625,true,false,true,canonical_untyped,Nearest canonical plastic_waste_collected is not alias-eligible because: canonical_untyped.,standard_mapping_candidate,pending,waste,generation,output,,weight,,,unknown,,weight,0.676,0.727,0.743,false
nestle_india_p211_1_fact_28,Waste reused,waste_reused,"(ii) Reused 4,419",waste_recovered_total,0.639,waste_generated,0.630,plastic_waste_collected,0.629,true,false,true,role_mismatch,Nearest canonical waste_recovered_total is not alias-eligible because: role_mismatch.,standard_mapping_candidate,pending,waste,consumption,consumed,,weight,waste,recovery,recovery,,weight,0.636,0.600,0.741,false
nestle_india_p211_1_fact_29,Waste reused,waste_reused,"(ii) Reused 2,088",waste_recovered_total,0.639,waste_generated,0.630,plastic_waste_collected,0.629,true,false,true,role_mismatch,Nearest canonical waste_recovered_total is not alias-eligible because: role_mismatch.,standard_mapping_candidate,pending,waste,consumption,consumed,,weight,waste,recovery,recovery,,weight,0.636,0.600,0.741,false
nestle_india_p211_1_fact_3,Plastic waste,plastic_waste,"Plastic waste (A) 2,237",plastic_waste_collected,0.773,plastic_waste_generated,0.708,plastic_packaging_consumed,0.625,true,false,true,canonical_untyped,Nearest canonical plastic_waste_collected is not alias-eligible because: canonical_untyped.,standard_mapping_candidate,pending,waste,generation,output,,weight,,,unknown,,weight,0.676,0.727,0.743,false
nestle_india_p211_1_fact_30,Waste other recovery operations,waste_other_recovery_operations,"(iii) Other recovery operations 37,668",waste_recovered_total,0.712,waste_generated,0.617,plastic_waste_collected,0.605,true,false,true,role_mismatch,Nearest canonical waste_recovered_total is not alias-eligible because: role_mismatch.,standard_mapping_candidate,pending,waste,recycling,recovery,,weight,waste,recovery,recovery,,weight,0.759,0.596,0.615,false
nestle_india_p211_1_fact_31,Waste other recovery operations,waste_other_recovery_operations,"(iii) Other recovery operations 30,044",waste_recovered_total,0.712,waste_generated,0.617,plastic_waste_collected,0.605,true,false,true,role_mismatch,Nearest canonical waste_recovered_total is not alias-eligible because: role_mismatch.,standard_mapping_candidate,pending,waste,recycling,recovery,,weight,waste,recovery,recovery,,weight,0.759,0.596,0.615,false
nestle_india_p211_1_fact_6,Bio-medical waste,bio_medical_waste,Bio-medical waste (C) 0,waste_generated,0.548,plastic_waste_collected,0.486,construction_demolition_waste,0.472,true,true,true,,Nearest canonical waste_generated passed the semantic gate; alias requires human approval.,standard_mapping_candidate,pending,waste,generation,output,,weight,waste,generation,output,,weight,0.475,0.345,0.667,false
nestle_india_p213_1_fact_19,Water discharge into Surface water,water_discharge_surface_water,"Water discharge by destination and level of treatment [in kiloliters] (i) Into Surface water - No treatment - With treatment - please specify level of treatment 403,234 426,193 0 0 0 0",water_discharged_surface_treated,0.821,water_discharged_total,0.665,water_withdrawal,0.600,true,false,true,role_mismatch,Nearest canonical water_discharged_surface_treated is not alias-eligible because: role_mismatch.,standard_mapping_candidate,pending,water,withdrawal,input,,volume,water,discharge,output,,volume,0.807,0.873,0.818,false
